site,name,img,pt,note,address,latlngColumn,role,connect_me
網址,人名,照片,政黨,介紹(請先把小寫逗號，轉成大寫逗號，再貼上，以免程式出錯),選區或競選總部地址,經緯度(程式自動補完),參選職位,聯絡方式
,,,,,,,,
http://kptaipei.tw/,柯文哲,,無黨,原為台大醫院主任，決定參選後拒絕加入民進黨，提出「在野大聯盟」的理念，以無黨身份參選，並和民進黨候選人PK民調勝出後，得到民進黨放棄推出候選人，直接和非民進黨的幕僚一起輔選柯文哲。,台北市,"25.0374?? 121.56355",市長,
,,,,,,,,
,,,,,,,,
http://www.stormmediagroup.com/opencms/news/detail/bdaa1343-d6a3-11e3-9580-ef2804cba5a1/?uuid=bdaa1343-d6a3-11e3-9580-ef2804cba5a1,王奕凱,,無黨,為太陽花活動和獨立運動發聲支持的好市民，曾質疑退場決策不夠透明,士林北投區,"25.1306?? 121.498001",議員,
https://www.facebook.com/annebojay?fref=ts,洪美惠,,無黨,慈濟內湖保護區守護聯盟,內湖大湖里,"25.091801?? 121.602997",里長,
